position,rank,patent_id,serpapi_link,title,priority_date,filing_date,grant_date,publication_date,inventor,assignee,publication_number,language,thumbnail,pdf,page
8,7,patent/US11586194B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11586194B2%2Fen,Storage and access of neural network models of automotive predictive maintenance,2019-08-12,2019-08-12,2023-02-21,2023-02-21,Robert Richard Noel Bielby,"Micron Technology, Inc.",US11586194B2,en,https://patentimages.storage.googleapis.com/1b/ed/c7/37367c66f738dc/US11586194-20230221-D00000.png,https://patentimages.storage.googleapis.com/72/9c/79/605a6e4c32a146/US11586194B2.pdf,6.0
9,8,patent/US11681643B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11681643B2%2Fen,Flexible mobile device connectivity to automotive systems with USB hubs,2013-09-26,2021-10-11,2023-06-20,2023-06-20,Robert M. Voto,Aptiv Technologies Limited,US11681643B2,en,https://patentimages.storage.googleapis.com/ec/42/5f/f604a64deb320c/US11681643-20230620-D00000.png,https://patentimages.storage.googleapis.com/b6/1e/53/a3658bc329e74c/US11681643.pdf,6.0
10,9,patent/USD828271S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD828271S1%2Fen,Automotive wheel,2017-09-27,2017-09-27,2018-09-11,2018-09-11,Donnie Han,Donnie Han,USD828271S1,en,https://patentimages.storage.googleapis.com/65/1d/69/904d3442e629ca/USD0828271-20180911-D00000.png,https://patentimages.storage.googleapis.com/58/a6/ab/eb311990484884/USD828271.pdf,6.0
1,0,patent/JP6860271B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FJP6860271B2%2Fen,Systems and methods that respond to driver behavior,2011-02-18,2018-11-07,2021-04-14,2021-04-14,キン・ファン,本田技研工業株式会社,JP6860271B2,en,https://patentimages.storage.googleapis.com/f6/5a/fb/5bd56bc5d432dc/0006860271-2.png,https://patentimages.storage.googleapis.com/cd/0b/1c/2df60b54f2eaac/JP6860271B2.pdf,7.0
2,1,patent/KR102377765B1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FKR102377765B1%2Fen,Automotive radar with antenna arrays with vertical offset to phase angle …,2017-12-22,2018-12-03,2022-03-24,2022-03-24,티모시 캠벨,웨이모 엘엘씨,KR102377765B1,en,https://patentimages.storage.googleapis.com/7a/b0/b3/189dcec135fa55/112020074502206-pct00051.png,https://patentimages.storage.googleapis.com/45/d1/bf/10a053fb5f6949/KR102377765B1.pdf,7.0
3,2,patent/US10812593B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10812593B2%2Fen,Cloud integrated vehicle platform,2015-09-14,2019-07-31,2020-10-20,2020-10-20,Mahmoud Haidar,"Vinli, Inc.",US10812593B2,en,https://patentimages.storage.googleapis.com/35/9c/5c/c5a2a8859ecba7/US10812593-20201020-D00000.png,https://patentimages.storage.googleapis.com/7d/c0/fc/7448c6dbd8727a/US10812593.pdf,7.0
4,3,patent/US20230023870A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20230023870A1%2Fen,Neural network applications in resource constrained environments,2016-07-22,2022-10-03,,2023-01-26,Rocky Chau-Hsiung Lin,"Alpine Electronics of Silicon Valley, Inc.",US20230023870A1,en,https://patentimages.storage.googleapis.com/97/68/9e/4078d6d0b4d389/US20230023870A1-20230126-D00000.png,https://patentimages.storage.googleapis.com/84/71/8b/66b202c7654a1d/US20230023870A1.pdf,7.0
5,4,patent/CN108919215B/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FCN108919215B%2Fen,Millimeter wave radar calibration system and method for vehicle,2018-09-21,2018-09-21,2021-09-21,2021-09-21,田海燕,北京润科通用技术有限公司,CN108919215B,en,https://patentimages.storage.googleapis.com/b4/fb/da/d32c5fdb5c2ff7/HDA0001807849600000011.png,https://patentimages.storage.googleapis.com/bb/59/29/7cbc2f6a622064/CN108919215B.pdf,7.0
6,5,patent/US10717402B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10717402B2%2Fen,Shock-absorbing energy dissipation padding placed at eye level in an autonomous …,2015-10-26,2018-01-14,2020-07-21,2020-07-21,Gil Thieberger,Active Knowledge Ltd.,US10717402B2,en,https://patentimages.storage.googleapis.com/60/6a/23/1fd79a15c1ec4d/US10717402-20200721-D00000.png,https://patentimages.storage.googleapis.com/f8/95/8d/70a5d504edcaf0/US10717402.pdf,7.0
7,6,patent/US11362809B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11362809B2%2Fen,Systems and methods for post-collision vehicle routing via blockchain,2017-04-05,2020-10-22,2022-06-14,2022-06-14,William J. Leise,State Farm Mutual Automobile Insurance Company,US11362809B2,en,https://patentimages.storage.googleapis.com/f7/14/15/1879a376526409/US11362809-20220614-D00000.png,https://patentimages.storage.googleapis.com/a1/f9/47/aae902bf2f6a6e/US11362809.pdf,7.0
8,7,patent/US20210295065A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20210295065A1%2Fen,Object identification system,2018-12-10,2021-06-09,,2021-09-23,Kensuke Arai,"Koito Manufacturing Co., Ltd.",US20210295065A1,en,https://patentimages.storage.googleapis.com/fa/2e/0d/17c0b65e9116bf/US20210295065A1-20210923-D00000.png,https://patentimages.storage.googleapis.com/e3/92/16/a86cb3be23e70e/US20210295065A1.pdf,7.0
9,8,patent/US11681298B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11681298B2%2Fen,Removable automotive LIDAR data collection pod,2018-11-02,2021-11-01,2023-06-20,2023-06-20,"Nathaniel Gist, IV","Aurora Operations, Inc.",US11681298B2,en,https://patentimages.storage.googleapis.com/d1/d7/5e/6035240d05bbc0/US11681298-20230620-D00000.png,https://patentimages.storage.googleapis.com/4f/24/c9/94cc4e96c162e2/US11681298.pdf,7.0
10,9,patent/US11040624B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11040624B2%2Fen,Cooling strategy for battery systems,2014-10-15,2018-10-15,2021-06-22,2021-06-22,Zhihong H. Jin,Cps Technology Holdings Llc,US11040624B2,en,https://patentimages.storage.googleapis.com/8c/27/a6/78aa61029969cb/US11040624-20210622-D00000.png,https://patentimages.storage.googleapis.com/7d/43/ee/02b890d2903275/US11040624.pdf,7.0
1,0,patent/US20230206073A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20230206073A1%2Fen,Neural network applications in resource constrained environments,2016-07-22,2023-03-06,,2023-06-29,Rocky Chau-Hsiung Lin,"Alpine Electronics of Silicon Valley, Inc.",US20230206073A1,en,https://patentimages.storage.googleapis.com/e4/04/d4/3c7733192448e9/US20230206073A1-20230629-D00000.png,https://patentimages.storage.googleapis.com/62/e9/16/135f69a809762a/US20230206073A1.pdf,8.0
2,1,patent/US11027726B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11027726B2%2Fen,Automotive auxiliary LADAR sensor,2013-05-24,2019-07-02,2021-06-08,2021-06-08,Roger Stettner,"Continental Advanced Lidar Solutions Us, Llc",US11027726B2,en,https://patentimages.storage.googleapis.com/5a/69/83/08ca444d112952/US11027726-20210608-D00000.png,https://patentimages.storage.googleapis.com/31/ff/6a/d06354df9d5ec2/US11027726.pdf,8.0
3,2,patent/CN111655480B/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FCN111655480B%2Fen,Glass with frame for information acquisition system,2018-01-24,2019-01-23,2022-12-09,2022-12-09,M·巴德,中央硝子株式会社,CN111655480B,en,https://patentimages.storage.googleapis.com/06/ee/37/87950b26bde3e2/HDA0002594005570000011.png,https://patentimages.storage.googleapis.com/53/2a/d8/c77cae469174a0/CN111655480B.pdf,8.0
4,3,patent/US20200357060A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20200357060A1%2Fen,Rules/model-based data processing system for intelligent default risk …,2019-05-10,2020-05-11,,2020-11-12,Ruslana Dalinina,"Fair Ip, Llc",US20200357060A1,en,https://patentimages.storage.googleapis.com/c4/72/22/40eba0c6bce569/US20200357060A1-20201112-D00000.png,https://patentimages.storage.googleapis.com/56/d4/9a/391e794f031a26/US20200357060A1.pdf,8.0
5,4,patent/USD856255S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD856255S1%2Fen,Automotive rim,2018-06-20,2018-06-20,2019-08-13,2019-08-13,Kelly Johnson,Diablo Racing Inc.,USD856255S1,en,https://patentimages.storage.googleapis.com/77/8b/68/cf6f9d003b5a69/USD0856255-20190813-D00000.png,https://patentimages.storage.googleapis.com/ab/42/67/7dae101e4d75f7/USD856255.pdf,8.0
6,5,patent/USD991146S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD991146S1%2Fen,Automotive interior receptacle,2021-12-10,2021-12-10,2023-07-04,2023-07-04,Yufang Chen,Yufang Chen,USD991146S1,en,https://patentimages.storage.googleapis.com/fb/01/6b/90cce3d875a77d/USD0991146-20230704-D00000.png,https://patentimages.storage.googleapis.com/37/d5/97/4805ac0348b9ac/USD991146.pdf,8.0
7,6,patent/JP6752857B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FJP6752857B2%2Fen,Cover for automotive radar sensors,2013-10-17,2018-10-12,2020-09-09,2020-09-09,ガイゼ，シュテファン,ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツングＲｏｂｅｒｔ Ｂｏｓｃｈ Ｇｍｂｈ,JP6752857B2,en,https://patentimages.storage.googleapis.com/29/9b/a7/764240ce4ba2ae/0006752857-2.png,https://patentimages.storage.googleapis.com/2d/79/68/d9f57c4dd82dcc/JP6752857B2.pdf,8.0
8,7,patent/US20210389516A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20210389516A1%2Fen,Wide angle imaging directional backlights,2016-05-19,2021-06-21,,2021-12-16,Jonathan Harrold,"Reald Spark, Llc",US20210389516A1,en,https://patentimages.storage.googleapis.com/a9/7f/f0/2699ebf61867dd/US20210389516A1-20211216-D00000.png,https://patentimages.storage.googleapis.com/2f/55/f9/fd776a1bfa0d20/US20210389516A1.pdf,8.0
9,8,patent/US10457019B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10457019B2%2Fen,"Light weight composite material systems, polymeric materials, and methods",2010-02-15,2017-10-10,2019-10-29,2019-10-29,Shimon Mizrahi,Productive Research Llc,US10457019B2,en,https://patentimages.storage.googleapis.com/0a/19/e8/4cd346e4dc2c11/US10457019-20191029-D00000.png,https://patentimages.storage.googleapis.com/c3/a0/1b/70b34c28da5c8d/US10457019.pdf,8.0
10,9,patent/US11332061B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11332061B2%2Fen,Unmanned carrier for carrying urban manned vehicles,2015-10-26,2020-06-10,2022-05-17,2022-05-17,Gil Thieberger,Atnomity Ltd.,US11332061B2,en,https://patentimages.storage.googleapis.com/ab/e2/b1/0e77cb8acea350/US11332061-20220517-D00000.png,https://patentimages.storage.googleapis.com/b4/d0/e4/92075a2e53f60b/US11332061.pdf,8.0
1,0,patent/EP3840327A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FEP3840327A1%2Fen,Method for applying for digital certificate,2019-05-07,2020-05-07,,2021-06-23,Jintao Zhu,"Huawei Technologies Co., Ltd.",EP3840327A1,en,https://patentimages.storage.googleapis.com/e1/75/fc/daf8c80cd47234/imgf0001.png,https://patentimages.storage.googleapis.com/00/01/95/44f679a4df54ca/EP3840327A1.pdf,9.0
2,1,patent/US11694132B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11694132B2%2Fen,Methods and systems for electronic form identification and population,2012-11-15,2020-09-29,2023-07-04,2023-07-04,II Edward Phillip Kinsey,Impel It! Inc.,US11694132B2,en,https://patentimages.storage.googleapis.com/50/e5/31/0dd38c1cd0339a/US11694132-20230704-D00000.png,https://patentimages.storage.googleapis.com/a0/bc/64/95f1569fda5429/US11694132.pdf,9.0
3,2,patent/US11851921B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11851921B2%2Fen,Automotive latch including bearing to facilitate release effort,2015-08-21,2020-08-10,2023-12-26,2023-12-26,Uzochukwu Okeke,Magna Closures Inc.,US11851921B2,en,https://patentimages.storage.googleapis.com/05/35/9c/6617cde0af2fba/US11851921-20231226-D00000.png,https://patentimages.storage.googleapis.com/e5/7e/40/e9f8534792f667/US11851921.pdf,9.0
4,3,patent/US10031790B1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10031790B1%2Fen,"System, method and computer program product for sharing information in a …",2002-12-17,2018-03-12,2018-07-24,2018-07-24,Axel Fuchs,"Stragent, Llc",US10031790B1,en,https://patentimages.storage.googleapis.com/d1/9b/46/6c90bddd8c4369/US10031790-20180724-D00000.png,https://patentimages.storage.googleapis.com/bd/42/7a/71a8993a0fed66/US10031790.pdf,9.0
5,4,patent/USD846478S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD846478S1%2Fen,Automotive wheel,2018-05-21,2018-05-21,2019-04-23,2019-04-23,Myles Kovacs,Myles Kovacs,USD846478S1,en,https://patentimages.storage.googleapis.com/47/62/7a/ef72a73dd9b180/USD0846478-20190423-D00000.png,https://patentimages.storage.googleapis.com/c2/6e/d5/356e36290dac60/USD846478.pdf,9.0
6,5,patent/USD885284S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD885284S1%2Fen,Automotive wheel,2018-10-15,2018-10-15,2020-05-26,2020-05-26,Donnie Han,Donnie Han,USD885284S1,en,https://patentimages.storage.googleapis.com/12/82/69/c369b5fd50ffec/USD0885284-20200526-D00000.png,https://patentimages.storage.googleapis.com/dd/f9/6e/96888a4816dfbc/USD885284S1.pdf,9.0
7,6,patent/USD863190S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD863190S1%2Fen,Automotive wheel,2018-10-22,2018-10-22,2019-10-15,2019-10-15,Donnie Han,Donnie Han,USD863190S1,en,https://patentimages.storage.googleapis.com/d2/a1/2c/8fe519ad2808d3/USD0863190-20191015-D00000.png,https://patentimages.storage.googleapis.com/d4/51/f7/effc5089ce8203/USD863190.pdf,9.0
8,7,patent/USD860908S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD860908S1%2Fen,Automotive wheel,2018-09-18,2018-09-18,2019-09-24,2019-09-24,Donnie Han,Donnie Han,USD860908S1,en,https://patentimages.storage.googleapis.com/3c/91/35/d1edad3b495a73/USD0860908-20190924-D00000.png,https://patentimages.storage.googleapis.com/31/e2/56/009edc1201d6ee/USD860908.pdf,9.0
9,8,patent/USD865622S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD865622S1%2Fen,Automotive wheel,2018-10-08,2018-10-08,2019-11-05,2019-11-05,Donnie Han,Donnie Han,USD865622S1,en,https://patentimages.storage.googleapis.com/17/da/94/31deb2d5165c41/USD0865622-20191105-D00000.png,https://patentimages.storage.googleapis.com/44/bb/1f/52b184169db427/USD865622.pdf,9.0
10,9,patent/USD865624S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD865624S1%2Fen,Automotive wheel,2018-10-08,2018-10-08,2019-11-05,2019-11-05,Donnie Han,Donnie Han,USD865624S1,en,https://patentimages.storage.googleapis.com/68/30/bc/7dfa3374914659/USD0865624-20191105-D00000.png,https://patentimages.storage.googleapis.com/a1/1c/b7/096f1b642160a6/USD865624.pdf,9.0
1,0,patent/USD865623S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD865623S1%2Fen,Automotive wheel,2018-10-08,2018-10-08,2019-11-05,2019-11-05,Donnie Han,Donnie Han,USD865623S1,en,https://patentimages.storage.googleapis.com/50/40/55/149e02c4c5d8bd/USD0865623-20191105-D00000.png,https://patentimages.storage.googleapis.com/80/e8/06/152e86e0d34bc3/USD865623.pdf,10.0
2,1,patent/US11563932B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11563932B2%2Fen,Estimating real-time delay of a video data stream,2019-02-19,2022-03-03,2023-01-24,2023-01-24,Menashe Haskin,Edgy Bees Ltd.,US11563932B2,en,https://patentimages.storage.googleapis.com/c2/fe/43/57396fdc07c74f/US11563932-20230124-D00000.png,https://patentimages.storage.googleapis.com/3d/31/19/f75371c4fe8e3b/US11563932.pdf,10.0
3,2,patent/US11891541B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11891541B2%2Fen,Alpha-alumina flakes,2013-04-30,2022-04-14,2024-02-06,2024-02-06,Ryuta Suzuki,Merck Patent Gmbh,US11891541B2,en,,https://patentimages.storage.googleapis.com/df/a4/a1/6d36574108f6a8/US11891541.pdf,10.0
4,3,patent/US11622165B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11622165B2%2Fen,Vehicular camera assembly with electrical connectors,2012-03-06,2021-09-27,2023-04-04,2023-04-04,Stefan Sauer,Magna Electronics Inc.,US11622165B2,en,https://patentimages.storage.googleapis.com/b6/7d/f3/0a2390fcffdc99/US11622165-20230404-D00000.png,https://patentimages.storage.googleapis.com/ac/7e/b3/698ea8a599f1ea/US11622165.pdf,10.0
5,4,patent/US10093191B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10093191B2%2Fen,Method for charging a battery having a plurality of battery cells using two or …,2014-09-29,2018-01-11,2018-10-09,2018-10-09,John Keller,Daimler Ag,US10093191B2,en,https://patentimages.storage.googleapis.com/56/df/c6/72a8e8a745d412/US10093191-20181009-D00000.png,https://patentimages.storage.googleapis.com/cf/d7/c8/b51ac0aa31c4c9/US10093191.pdf,10.0
6,5,patent/US11077732B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11077732B2%2Fen,"Automotive construction machine, as well as lifting column for a construction …",2005-09-12,2019-04-30,2021-08-03,2021-08-03,Peter Busley,"Wirtgen America, Inc.",US11077732B2,en,https://patentimages.storage.googleapis.com/19/f8/9a/4e183c0f37e8c7/US11077732-20210803-D00000.png,https://patentimages.storage.googleapis.com/6c/f2/be/620ab420e94be8/US11077732.pdf,10.0
7,6,patent/US10567633B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10567633B2%2Fen,Vehicle vision system using image data transmission and power supply via a …,2011-09-21,2019-05-02,2020-02-18,2020-02-18,Joern Ihlenburg,Magna Electronics Inc.,US10567633B2,en,https://patentimages.storage.googleapis.com/47/8e/2a/9c393b26159d6e/US10567633-20200218-D00000.png,https://patentimages.storage.googleapis.com/cc/18/c9/c19fd6275235be/US10567633.pdf,10.0
8,7,patent/JP7168145B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FJP7168145B2%2Fen,Trusted vehicle telematics using blockchain data analysis,2016-09-27,2021-07-20,2022-11-09,2022-11-09,アルヴァレズ、イグナシオ,インテル・コーポレーション,JP7168145B2,en,https://patentimages.storage.googleapis.com/42/12/60/83f7e15e5e8709/0007168145000001.png,https://patentimages.storage.googleapis.com/dc/25/4e/6e396d2bbdec01/JP7168145B2.pdf,10.0
9,8,patent/US11644834B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11644834B2%2Fen,Systems and methods for safe and reliable autonomous vehicles,2017-11-10,2018-11-09,2023-05-09,2023-05-09,Michael Alan DITTY,Nvidia Corporation,US11644834B2,en,https://patentimages.storage.googleapis.com/87/ec/84/62f30c913e5701/US11644834-20230509-D00000.png,https://patentimages.storage.googleapis.com/90/bd/29/77d50efb802bf7/US11644834.pdf,10.0
10,9,patent/US10728837B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10728837B2%2Fen,Vehicle communications via wireless access vehicular environment,2013-01-09,2018-03-16,2020-07-28,2020-07-28,Martin Nathanson,"Paxgrid Telemetric Systems, Inc.",US10728837B2,en,https://patentimages.storage.googleapis.com/99/d4/0c/bcba975fb17eb9/US10728837-20200728-D00000.png,https://patentimages.storage.googleapis.com/19/65/5c/91880ebb7daeea/US10728837.pdf,10.0
1,0,patent/US11142649B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11142649B2%2Fen,α-alumina flakes,2013-04-30,2019-07-02,2021-10-12,2021-10-12,Ryuta Suzuki,Merck Patent Gmbh,US11142649B2,en,,https://patentimages.storage.googleapis.com/48/25/5b/8157eebb67123d/US11142649.pdf,11.0
2,1,patent/US11699138B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11699138B2%2Fen,Service kiosk,2016-12-09,2020-05-06,2023-07-11,2023-07-11,Todd Marcelle,"Go Moto, Inc.",US11699138B2,en,https://patentimages.storage.googleapis.com/51/bb/5f/dfd2032dbdf72d/US11699138-20230711-D00000.png,https://patentimages.storage.googleapis.com/11/d3/12/f9d9805b1c02d4/US11699138.pdf,11.0
3,2,patent/US11329953B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11329953B2%2Fen,System and method for providing cyber security to an in-vehicle network,2017-03-09,2018-03-08,2022-05-10,2022-05-10,Matan Atad,Argus Cyber Security Ltd.,US11329953B2,en,https://patentimages.storage.googleapis.com/de/ba/a7/2b7034aaff742e/US11329953-20220510-D00000.png,https://patentimages.storage.googleapis.com/e0/80/2e/8bb524ada6b1cd/US11329953.pdf,11.0
4,3,patent/US20210139061A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20210139061A1%2Fen,Warning light sensor system for automatically determining a proper operation of …,2015-01-12,2021-01-25,,2021-05-13,Thomas N. Hilleary,The Island Radar Company,US20210139061A1,en,https://patentimages.storage.googleapis.com/da/27/8c/329f6284c9fe9f/US20210139061A1-20210513-D00000.png,https://patentimages.storage.googleapis.com/11/dd/08/c9c9d6d0a94e8f/US20210139061A1.pdf,11.0
5,4,patent/JP7262150B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FJP7262150B2%2Fen,Automotive electronics and programs,2013-04-09,2022-04-26,2023-04-21,2023-04-21,久雄 尾野,株式会社ユピテル,JP7262150B2,en,https://patentimages.storage.googleapis.com/74/c1/00/184f02c3b4444e/0007262150000001.png,https://patentimages.storage.googleapis.com/cb/cc/c6/f7c5b760d5fadf/JP7262150B2.pdf,11.0
6,5,patent/US10546387B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10546387B2%2Fen,Pose determination with semantic segmentation,2017-09-08,2017-09-08,2020-01-28,2020-01-28,Martin Hirzer,Qualcomm Incorporated,US10546387B2,en,https://patentimages.storage.googleapis.com/64/01/1d/4680ed6ef801a7/US10546387-20200128-D00000.png,https://patentimages.storage.googleapis.com/46/4d/33/f9b35d0586a180/US10546387.pdf,11.0
7,6,patent/US11414057B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11414057B2%2Fen,Retractable pedal assembly for a vehicle,2019-04-03,2019-04-03,2022-08-16,2022-08-16,Ali Ghaffari,GM Global Technology Operations LLC,US11414057B2,en,https://patentimages.storage.googleapis.com/7f/96/5e/f2a6b43aea3e78/US11414057-20220816-D00000.png,https://patentimages.storage.googleapis.com/71/b1/40/12abb6244ee226/US11414057.pdf,11.0
8,7,patent/US11197129B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11197129B2%2Fen,Network broadcast of data to internet of things (IOT) devices using a dedicated …,2017-06-16,2019-08-22,2021-12-07,2021-12-07,Jasminka Dizdarevic,"At&amp;T Intellectual Property I, L.P.",US11197129B2,en,https://patentimages.storage.googleapis.com/84/7d/a0/632d8293c3852d/US11197129-20211207-D00000.png,https://patentimages.storage.googleapis.com/46/11/76/68f7478bf04e14/US11197129.pdf,11.0
9,8,patent/US11390004B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11390004B2%2Fen,"Fastenable member for sealing, baffling or reinforcing and method of forming …",2003-06-26,2019-06-24,2022-07-19,2022-07-19,Douglas C. Larsen,"Zephyros, Inc.",US11390004B2,en,https://patentimages.storage.googleapis.com/cd/02/b9/cd02f7dbb87f32/US11390004-20220719-D00000.png,https://patentimages.storage.googleapis.com/24/be/3b/dd625d3587cde6/US11390004.pdf,11.0
10,9,patent/US10613810B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10613810B2%2Fen,Display device for vehicle,2013-03-29,2018-08-30,2020-04-07,2020-04-07,Naoki WAKAMOTO,Subaru Corporation,US10613810B2,en,https://patentimages.storage.googleapis.com/97/26/e2/90e9accfecfb69/US10613810-20200407-D00000.png,https://patentimages.storage.googleapis.com/08/75/d8/f957dfa496a3e0/US10613810.pdf,11.0
1,0,patent/US11748330B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11748330B2%2Fen,Systems and methods for analyzing vehicle sensor data via a blockchain,2017-03-03,2022-08-05,2023-09-05,2023-09-05,William J. Leise,State Farm Mutual Automobile Insurance Company,US11748330B2,en,https://patentimages.storage.googleapis.com/d7/f0/fb/a0e00d2c4d674a/US11748330-20230905-D00000.png,https://patentimages.storage.googleapis.com/e4/92/4d/7f416adb148822/US11748330.pdf,12.0
2,1,patent/US11630336B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11630336B2%2Fen,Reflective optical stack for privacy display,2018-01-25,2021-03-08,2023-04-18,2023-04-18,Michael G. Robinson,"Reald Spark, Llc",US11630336B2,en,https://patentimages.storage.googleapis.com/c8/0a/25/126307ac6f465e/US11630336-20230418-D00000.png,https://patentimages.storage.googleapis.com/ef/45/62/ec64110c28c51c/US11630336.pdf,12.0
3,2,patent/US10303030B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10303030B2%2Fen,Reflective optical stack for privacy display,2017-05-08,2018-07-18,2019-05-28,2019-05-28,Michael G. Robinson,"Reald Spark, Llc",US10303030B2,en,https://patentimages.storage.googleapis.com/73/c9/83/f1927f072a21c2/US10303030-20190528-D00000.png,https://patentimages.storage.googleapis.com/ab/fc/89/60a07435f3fe5e/US10303030.pdf,12.0
4,3,patent/US20200178198A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20200178198A1%2Fen,Server selection for vehicle communications and applications,2019-02-12,2020-02-10,,2020-06-04,Zongrui Ding,Intel Corporation,US20200178198A1,en,https://patentimages.storage.googleapis.com/04/ab/fe/17155d8290b112/US20200178198A1-20200604-D00000.png,https://patentimages.storage.googleapis.com/2d/bb/26/b58d363cc22afd/US20200178198A1.pdf,12.0
5,4,patent/JP7124065B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FJP7124065B2%2Fen,Haptic elements for dead windshields and method of making same,2017-09-12,2018-09-12,2022-08-23,2022-08-23,ウェイド フェントン，マシュー,コーニング インコーポレイテッド,JP7124065B2,en,https://patentimages.storage.googleapis.com/ea/c7/b9/163763fab595f8/0007124065000002.png,https://patentimages.storage.googleapis.com/f1/91/44/4e75d3de0dfeed/JP7124065B2.pdf,12.0
6,5,patent/CN110633409B/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FCN110633409B%2Fen,Automobile news event extraction method integrating rules and deep learning,2018-06-20,2018-06-20,2023-06-09,2023-06-09,黄海量,上海财经大学,CN110633409B,en,https://patentimages.storage.googleapis.com/4e/e1/32/b8a5d2f434c32b/HDA0004101758420000011.png,https://patentimages.storage.googleapis.com/03/f5/c3/a5eaeff876130d/CN110633409B.pdf,12.0
